ID,Dim,Size,Skylight,Entrance,Openings,Legs,Texture
0,35.828526,Super,Skylight,Ground,0,None,Solids Gradient 21
1,42.664224,Super,Skylight,Ramp,4,White Legs,Solids Gradient 37
2,21.680222,Super,Skylight,Ground,3,None,Solids Gradient 22
3,14.520924,Super,None,Ground,0,None,Solids Gradient 36
4,41.742774,Super,Skylight,Ramp,2,Black Legs,Solids Gradient 32
5,41.333811,Super,Skylight,Ramp,0,White Legs,Solids Gradient 14
6,17.515927,Super,Skylight,Ground,0,None,Solids Gradient 37
7,12.451481,Super,None,Ground,0,None,Solids Gradient 25
8,20.162799,Super,Skylight,Ground,0,None,Solids Gradient 27
9,35.375317,Super,None,Ground,0,None,Solids Gradient 31
10,18.576862,Super,Skylight,Ground,3,None,Solids Gradient 01
11,21.010027,Super,Skylight,Ramp,3,White Legs,Solids Gradient 34
12,25.371029,Super,Skylight,Ramp,4,White Legs,Solids Gradient 32
13,19.228413,Super,Skylight,Ground,4,None,Solids Gradient 13
14,41.562543,Super,Skylight,Spiral,2,Black Legs,Unknown (8)
15,20.805138,Super,None,Ramp,2,White Legs,Solids Gradient 18
16,23.496206,Super,Skylight,Spiral,1,White Legs,Solids Gradient 17
17,36.224687,Super,Skylight,Ground,0,None,Solids Gradient 40
18,22.494455,Super,None,Ramp,3,White Legs,Unknown (8)
19,21.080662,Super,Skylight,Ground,0,None,Solids Gradient 15
20,21.147549,Super,Skylight,Ramp,4,White Legs,Solids Gradient 18
21,33.34183,Super,Skylight,Ground,0,None,Solids Gradient 15
22,20.659794,Super,None,Ramp,0,White Legs,Solids Gradient 29
23,19.606923,Super,Skylight,Ground,3,None,Solids Gradient 04
24,36.254381,Super,None,Ramp,0,White Legs,Unknown (7)
25,30.136335,Super,Skylight,Ground,0,None,Solids Gradient 10
26,22.732712,Super,None,Ramp,0,White Legs,Unknown (7)
27,24.136977,Super,Skylight,Ramp,3,Black Legs,Solids Gradient 12
28,21.258606,Super,Skylight,Ramp,0,White Legs,Solids Gradient 12
